id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15682442.0,Hsueh,506.0,Spain,Male,33.0,6.0,0.0,1.0,1.0,1.0,158845.49,0.0
1,15576676.0,Mazzi,651.0,Germany,Female,43.0,5.0,102773.2,1.0,0.0,1.0,85902.39,1.0
2,15668958.0,Walker,554.0,France,Female,37.0,6.0,0.0,2.0,1.0,1.0,139861.53,0.0
3,15783629.0,Yobachi,553.0,France,Female,31.0,1.0,0.0,2.0,1.0,1.0,26149.25,0.0
4,15795527.0,Chiu,646.0,France,Male,42.0,5.0,0.0,2.0,1.0,1.0,61761.77,0.0
5,15651369.0,Pirozzi,712.0,Germany,Male,37.0,2.0,107594.11,1.0,1.0,0.0,51666.87,0.0
6,15759480.0,Rischbieth,742.0,France,Female,31.0,5.0,129968.67,1.0,1.0,0.0,183682.09,0.0
7,15574858.0,Iloerika,691.0,France,Male,39.0,7.0,0.0,2.0,1.0,0.0,735.69,0.0
8,15761487.0,Ch'iu,669.0,France,Male,54.0,4.0,0.0,1.0,1.0,1.0,80320.3,1.0
9,15750638.0,Ch'iu,675.0,France,Male,44.0,7.0,0.0,2.0,1.0,0.0,147012.22,0.0
10,15664802.0,Teng,633.0,France,Male,39.0,8.0,120124.35,1.0,0.0,0.0,179964.55,0.0
11,15587562.0,Ibezimako,807.0,France,Female,42.0,7.0,0.0,1.0,1.0,0.0,160976.85,1.0
12,15611189.0,Pritchard,762.0,Spain,Female,41.0,6.0,0.0,2.0,0.0,1.0,100637.06,0.0
13,15772632.0,Onwuamaeze,592.0,France,Male,54.0,1.0,0.0,2.0,1.0,1.0,84972.9,0.0
14,15791216.0,Rowntree,732.0,France,Female,33.0,8.0,0.0,2.0,1.0,0.0,152571.61,0.0
15,15580149.0,Chidiegwu,714.0,France,Male,36.0,1.0,0.0,1.0,1.0,0.0,94820.85,0.0
16,15791700.0,Okeke,583.0,France,Male,42.0,4.0,0.0,2.0,1.0,1.0,147521.35,0.0
17,15751022.0,Shih,704.0,Germany,Female,47.0,3.0,122417.17,1.0,1.0,0.0,179866.01,1.0
18,15684955.0,Ch'in,710.0,France,Male,35.0,4.0,0.0,2.0,1.0,1.0,27448.33,0.0
19,15586479.0,Yobachukwu,726.0,France,Male,35.0,7.0,106687.76,1.0,1.0,0.0,178373.93,0.0
20,15606915.0,Shao,767.0,France,Male,38.0,10.0,76798.92,1.0,1.0,0.0,151924.9,0.0
21,15697360.0,White,706.0,Spain,Female,40.0,1.0,0.0,1.0,1.0,1.0,180329.83,0.0
22,15669922.0,Chukwuemeka,746.0,France,Male,40.0,0.0,0.0,2.0,1.0,1.0,187943.6,0.0
23,15792922.0,Chuang,653.0,France,Male,36.0,4.0,0.0,2.0,1.0,0.0,174027.3,0.0
